internship_id,institution_id,domain,organization_name,duration_weeks,stipend_amount,mode,is_ppo_linked,program_source
INT_00001,INST_0273,Scientific Writing,HDFC Bank,6,5095.00,offline,False,General
INT_00002,INST_0290,Automobile Engineering,Meesho,9,14089.00,online,False,General
INT_00003,INST_0395,Large Language Models,Tech Mahindra,9,0.00,offline,False,General
INT_00004,INST_0394,Incrementality,Uber India,7,0.00,offline,True,CDAC
INT_00005,INST_0111,Biostatistics,Practo,7,6077.00,online,False,TULIP
INT_00006,INST_0171,Surgical Robotics,H&M India,8,0.00,offline,False,General
INT_00007,INST_0028,ZooKeeper,IBM India,6,0.00,offline,False,General
INT_00008,INST_0279,Propulsion,C-DAC,6,9478.00,offline,False,General
INT_00009,INST_0366,Trade Policy,Khadi India,8,9329.00,offline,False,General
INT_00010,INST_0403,Aero-engines,Reliance Retail,6,0.00,hybrid,False,General
INT_00011,INST_0203,Community Health,Puma India,7,8581.00,online,False,General
INT_00012,INST_0178,Packer,Levi's India,9,13645.00,offline,False,General
INT_00013,INST_0115,Motion Graphics,Siemens Gamesa,9,7256.00,hybrid,False,General
INT_00014,INST_0440,Risk Consulting,AICTE Internship Cell,6,7035.00,offline,False,General
INT_00015,INST_0152,Recommendation Systems,H&M India,9,12901.00,offline,False,General
INT_00016,INST_0012,Photogrammetry,L&T Energy,7,0.00,hybrid,False,General
INT_00017,INST_0273,Data Profiling,BHEL,9,6679.00,offline,False,General
INT_00018,INST_0208,Microfluidics,IBM India,6,4076.00,offline,False,General
INT_00019,INST_0144,CTR Modelling,UNICEF India,8,13347.00,online,False,TULIP
INT_00020,INST_0317,Orbital Mechanics,Decathlon India,8,9797.00,online,False,General
INT_00021,INST_0435,Pharmacovigilance,SAP Labs India,7,14916.00,offline,False,General
INT_00022,INST_0290,Performance Engineering,Swiggy,6,10465.00,online,True,General
INT_00023,INST_0411,Named Entity Recognition,AICTE Internship Cell,6,12430.00,offline,False,CDAC
INT_00024,INST_0073,Causal Inference,Maruti Suzuki,8,5614.00,offline,True,General
INT_00025,INST_0081,Welding Technology,Google India,6,9562.00,offline,False,CDAC
INT_00026,INST_0024,Cloud Engineering,SAP Labs India,7,5069.00,online,False,General
INT_00027,INST_0077,Operations Management,Nestle India,9,6348.00,online,False,General
INT_00028,INST_0349,Financial Modelling,IBM India,9,3075.00,online,False,General
INT_00029,INST_0346,A/B Testing,PayPal India,9,0.00,hybrid,False,General
INT_00030,INST_0124,Imaging AI,Nykaa,6,9868.00,hybrid,False,General
INT_00031,INST_0459,Health Education,Nike India,8,0.00,online,False,General
INT_00032,INST_0166,Quantum Materials,Tech Mahindra,8,0.00,offline,False,General
INT_00033,INST_0418,Financial Analysis,World Bank India,7,14943.00,offline,False,General
INT_00034,INST_0388,CDN,Adidas India,6,9858.00,online,False,General
INT_00035,INST_0109,Major Incident,P&G India,7,0.00,offline,True,General
INT_00036,INST_0047,API Design,Capgemini,9,7404.00,offline,False,General
INT_00037,INST_0280,Humanitarian Logistics,Voltas,8,3717.00,offline,False,Indian Army
INT_00038,INST_0129,VLSI Design,Marico,6,8097.00,online,False,General
